Query_ID,Modelo,Stopwords_Removidas,Stemming_Aplicado,Top_10,P@10,R@10,F1@10,AP
11,Vetorial,0,0,"[('495', np.float64(0.4433), -1), ('654', np.float64(0.2784), 4), ('1356', np.float64(0.239), 0), ('1327', np.float64(0.2345), 0), ('28', np.float64(0.2295), 3), ('556', np.float64(0.228), 0), ('304', np.float64(0.2225), 0), ('110', np.float64(0.2114), 0), ('273', np.float64(0.2052), 0), ('27', np.float64(0.2042), 3)]",0.3,0.42857142857142855,0.3529411764705882,0.22899051257659647
12,Vetorial,0,0,"[('624', np.float64(0.2794), -1), ('543', np.float64(0.232), 0), ('1223', np.float64(0.2235), 0), ('650', np.float64(0.1893), 2), ('245', np.float64(0.1844), 0), ('1094', np.float64(0.1685), 0), ('1209', np.float64(0.1683), 0), ('1221', np.float64(0.168), 0), ('649', np.float64(0.1663), 4), ('1232', np.float64(0.1611), 0)]",0.2,0.4,0.26666666666666666,0.16860894660894662
13,Vetorial,0,0,"[('496', np.float64(0.4799), -1), ('903', np.float64(0.2601), 0), ('643', np.float64(0.2411), 0), ('199', np.float64(0.2166), 0), ('660', np.float64(0.2016), 0), ('1268', np.float64(0.1783), 0), ('503', np.float64(0.17), 0), ('801', np.float64(0.1635), 0), ('313', np.float64(0.1592), 0), ('38', np.float64(0.1589), 0)]",0.0,0.0,0.0,0.002803398133506735
14,Vetorial,0,0,"[('64', np.float64(0.4262), 1), ('256', np.float64(0.283), 0), ('170', np.float64(0.258), 0), ('1364', np.float64(0.2182), 0), ('65', np.float64(0.2181), 4), ('345', np.float64(0.2161), 0), ('132', np.float64(0.2056), 0), ('291', np.float64(0.1952), 0), ('1156', np.float64(0.1951), 0), ('439', np.float64(0.1937), 0)]",0.2,1.0,0.33333333333333337,0.7
15,Vetorial,0,0,"[('462', np.float64(0.2622), 3), ('1097', np.float64(0.1929), 0), ('463', np.float64(0.1744), 1), ('761', np.float64(0.1677), 0), ('1096', np.float64(0.1674), 0), ('866', np.float64(0.1598), 0), ('1117', np.float64(0.1554), 0), ('553', np.float64(0.141), 0), ('1025', np.float64(0.1357), 0), ('1099', np.float64(0.1244), 0)]",0.2,1.0,0.33333333333333337,0.8333333333333333
16,Vetorial,0,0,"[('498', np.float64(0.4007), -1), ('106', np.float64(0.3356), 3), ('1301', np.float64(0.2644), 0), ('410', np.float64(0.2165), 0), ('1006', np.float64(0.2095), 0), ('93', np.float64(0.204), 0), ('1112', np.float64(0.2027), 0), ('803', np.float64(0.2024), 0), ('1255', np.float64(0.2015), 0), ('494', np.float64(0.1932), 0)]",0.1,0.3333333333333333,0.15384615384615383,0.2490118577075099
17,Vetorial,0,0,"[('1301', np.float64(0.3378), 0), ('1281', np.float64(0.3377), 0), ('445', np.float64(0.3227), 0), ('106', np.float64(0.3176), 2), ('700', np.float64(0.307), 0), ('1108', np.float64(0.2883), 0), ('498', np.float64(0.2849), -1), ('410', np.float64(0.2825), 0), ('987', np.float64(0.252), 0), ('916', np.float64(0.2387), 0)]",0.1,0.5,0.16666666666666669,0.13908450704225353
18,Vetorial,0,0,"[('248', np.float64(0.4145), 0), ('498', np.float64(0.3785), -1), ('492', np.float64(0.3548), 0), ('354', np.float64(0.3427), 0), ('197', np.float64(0.3171), 2), ('56', np.float64(0.3121), 0), ('234', np.float64(0.302), 0), ('231', np.float64(0.2914), 0), ('1005', np.float64(0.2788), 0), ('947', np.float64(0.2775), 0)]",0.1,0.3333333333333333,0.15384615384615383,0.08979880699625924
19,Vetorial,0,0,"[('554', np.float64(0.1669), 0), ('82', np.float64(0.1657), 0), ('1346', np.float64(0.1423), 0), ('660', np.float64(0.1415), 0), ('706', np.float64(0.1355), 0), ('1279', np.float64(0.1281), 0), ('716', np.float64(0.1227), 3), ('826', np.float64(0.1212), 0), ('1219', np.float64(0.1208), 0), ('442', np.float64(0.1207), 0)]",0.1,0.1111111111111111,0.10526315789473685,0.05148555474545294
20,Vetorial,0,0,"[('500', np.float64(0.4852), -1), ('88', np.float64(0.2576), 3), ('268', np.float64(0.2535), 3), ('450', np.float64(0.2063), 0), ('87', np.float64(0.2061), 3), ('300', np.float64(0.1866), 0), ('966', np.float64(0.1708), 0), ('190', np.float64(0.1567), 0), ('104', np.float64(0.1459), 3), ('267', np.float64(0.1456), 3)]",0.5,0.5555555555555556,0.5263157894736842,0.4492817059483726
21,Vetorial,0,0,"[('502', np.float64(0.3619), -1), ('302', np.float64(0.2083), 0), ('68', np.float64(0.206), 0), ('271', np.float64(0.191), 1), ('16', np.float64(0.1895), 2), ('377', np.float64(0.1877), 0), ('628', np.float64(0.1818), 0), ('1007', np.float64(0.1676), 0), ('538', np.float64(0.161), 0), ('343', np.float64(0.1538), 0)]",0.2,0.5,0.28571428571428575,0.2166666666666667
22,Vetorial,0,0,"[('125', np.float64(0.3609), 0), ('560', np.float64(0.3149), 0), ('140', np.float64(0.2988), 0), ('565', np.float64(0.2916), 0), ('413', np.float64(0.2891), 0), ('307', np.float64(0.2851), 0), ('165', np.float64(0.2846), 0), ('16', np.float64(0.2741), 0), ('962', np.float64(0.2708), 0), ('73', np.float64(0.2691), 0)]",0.0,0.0,0.0,0.0009823182711198428
23,Vetorial,0,0,"[('892', np.float64(0.2184), -1), ('1109', np.float64(0.1739), 2), ('1287', np.float64(0.1662), 0), ('902', np.float64(0.1528), 1), ('28', np.float64(0.1509), 0), ('1151', np.float64(0.133), 0), ('1259', np.float64(0.1326), 2), ('251', np.float64(0.1312), 0), ('899', np.float64(0.1194), 3), ('586', np.float64(0.1186), 0)]",0.4,0.125,0.19047619047619047,0.14707832250297598
24,Vetorial,0,0,"[('46', np.float64(0.2563), 2), ('756', np.float64(0.2524), -1), ('12', np.float64(0.1954), 0), ('51', np.float64(0.1633), 0), ('1317', np.float64(0.1504), 0), ('884', np.float64(0.1457), 0), ('47', np.float64(0.1423), 2), ('1242', np.float64(0.1374), 0), ('102', np.float64(0.1325), 0), ('334', np.float64(0.1314), 0)]",0.2,0.6666666666666666,0.30769230769230765,0.4311755952380952
25,Vetorial,0,0,"[('277', np.float64(0.2877), 3), ('215', np.float64(0.2016), 3), ('121', np.float64(0.1942), 0), ('482', np.float64(0.185), 0), ('798', np.float64(0.1839), 0), ('214', np.float64(0.1808), 3), ('772', np.float64(0.177), 0), ('988', np.float64(0.1754), 0), ('990', np.float64(0.175), 0), ('134', np.float64(0.175), 0)]",0.3,0.3333333333333333,0.3157894736842105,0.4237473498871179
26,Vetorial,0,0,"[('382', np.float64(0.3907), 0), ('4', np.float64(0.3588), 0), ('348', np.float64(0.3122), 0), ('1355', np.float64(0.2991), 0), ('145', np.float64(0.2967), 1), ('3', np.float64(0.2781), 0), ('611', np.float64(0.2761), 1), ('307', np.float64(0.2734), 0), ('306', np.float64(0.2654), 0), ('389', np.float64(0.2652), 0)]",0.2,0.3333333333333333,0.25,0.14434239392222586
27,Vetorial,0,0,"[('1176', np.float64(0.2889), 0), ('1031', np.float64(0.2706), 0), ('1178', np.float64(0.2429), 0), ('1129', np.float64(0.2394), 0), ('1133', np.float64(0.219), 0), ('838', np.float64(0.2146), 0), ('888', np.float64(0.2142), 0), ('1035', np.float64(0.2132), 0), ('512', np.float64(0.1941), -1), ('247', np.float64(0.1576), 0)]",0.0,0.0,0.0,0.07997148265604641
28,Vetorial,0,0,"[('251', np.float64(0.223), 0), ('1050', np.float64(0.209), 0), ('247', np.float64(0.2079), 0), ('678', np.float64(0.1671), 0), ('250', np.float64(0.1662), 0), ('470', np.float64(0.1591), 0), ('921', np.float64(0.1554), 0), ('699', np.float64(0.1498), 0), ('27', np.float64(0.1494), 0), ('1075', np.float64(0.1491), 0)]",0.0,0.0,0.0,0.001437698730503596
29,Vetorial,0,0,"[('465', np.float64(0.3762), 4), ('612', np.float64(0.3384), 2), ('420', np.float64(0.3162), 0), ('250', np.float64(0.2975), 2), ('211', np.float64(0.2794), 0), ('901', np.float64(0.2606), 0), ('464', np.float64(0.2593), 4), ('222', np.float64(0.2525), 0), ('513', np.float64(0.2493), -1), ('146', np.float64(0.2461), 0)]",0.4,0.4444444444444444,0.4210526315789474,0.42225958562191374
30,Vetorial,0,0,"[('513', np.float64(0.2103), -1), ('633', np.float64(0.1805), 0), ('147', np.float64(0.1758), 0), ('247', np.float64(0.1686), 0), ('46', np.float64(0.1683), 0), ('420', np.float64(0.1671), 0), ('602', np.float64(0.165), 0), ('678', np.float64(0.1647), 0), ('464', np.float64(0.1574), 2), ('19', np.float64(0.1556), 0)]",0.1,0.14285714285714285,0.11764705882352941,0.05980829060600679
31,Vetorial,0,0,"[('751', np.float64(0.2212), -1), ('247', np.float64(0.2076), 0), ('916', np.float64(0.1817), 0), ('1341', np.float64(0.1539), 0), ('918', np.float64(0.1516), 0), ('749', np.float64(0.1484), 0), ('228', np.float64(0.1394), 0), ('919', np.float64(0.1379), 0), ('1082', np.float64(0.1376), 0), ('704', np.float64(0.1359), 0)]",0.0,0.0,0.0,0.0008116883116883117
32,Vetorial,0,0,"[('752', np.float64(0.5109), -1), ('382', np.float64(0.2514), 0), ('921', np.float64(0.2231), 0), ('1186', np.float64(0.207), 0), ('530', np.float64(0.2038), 0), ('432', np.float64(0.1761), 0), ('801', np.float64(0.1758), 0), ('1112', np.float64(0.1738), 0), ('250', np.float64(0.1673), 4), ('1197', np.float64(0.1646), 0)]",0.1,0.16666666666666666,0.125,0.04324658154216094
33,Vetorial,0,0,"[('516', np.float64(0.4125), -1), ('431', np.float64(0.2621), 3), ('141', np.float64(0.2546), 4), ('252', np.float64(0.2403), 3), ('1153', np.float64(0.1995), 0), ('808', np.float64(0.1977), 0), ('672', np.float64(0.1824), 0), ('791', np.float64(0.1771), 0), ('714', np.float64(0.1768), 0), ('594', np.float64(0.1756), 0)]",0.3,1.0,0.4615384615384615,0.6388888888888888
34,Vetorial,0,0,"[('610', np.float64(0.3138), 0), ('516', np.float64(0.2776), -1), ('1153', np.float64(0.2645), 0), ('175', np.float64(0.2527), 0), ('799', np.float64(0.2403), 3), ('431', np.float64(0.2315), 3), ('252', np.float64(0.2175), 1), ('795', np.float64(0.2143), 0), ('1062', np.float64(0.2104), 0), ('1074', np.float64(0.1878), 0)]",0.3,0.5,0.37499999999999994,0.2466412242728032
35,Vetorial,0,0,"[('1208', np.float64(0.1915), 0), ('875', np.float64(0.1728), 0), ('75', np.float64(0.1477), 0), ('1244', np.float64(0.1428), 0), ('654', np.float64(0.1326), 0), ('1389', np.float64(0.1259), 0), ('1276', np.float64(0.1175), 0), ('1327', np.float64(0.1175), 0), ('1203', np.float64(0.1171), 0), ('64', np.float64(0.1169), 0)]",0.0,0.0,0.0,0.016242265420707745
36,Vetorial,0,0,"[('550', np.float64(0.1801), 0), ('661', np.float64(0.1754), 0), ('398', np.float64(0.1748), 0), ('283', np.float64(0.1585), 0), ('1268', np.float64(0.1567), 0), ('564', np.float64(0.156), 0), ('123', np.float64(0.1542), 0), ('546', np.float64(0.1537), 0), ('281', np.float64(0.1502), 0), ('623', np.float64(0.1415), 0)]",0.0,0.0,0.0,0.03530961791831357
37,Vetorial,0,0,"[('186', np.float64(0.3046), 0), ('176', np.float64(0.281), 0), ('188', np.float64(0.2662), 2), ('179', np.float64(0.2606), 0), ('519', np.float64(0.2599), -1), ('487', np.float64(0.2556), 3), ('189', np.float64(0.2487), 0), ('461', np.float64(0.2369), 0), ('979', np.float64(0.2346), 0), ('173', np.float64(0.2329), 2)]",0.3,0.3333333333333333,0.3157894736842105,0.21456677718671877
38,Vetorial,0,0,"[('976', np.float64(0.247), 0), ('536', np.float64(0.2292), -1), ('1141', np.float64(0.2288), 0), ('272', np.float64(0.2197), 3), ('1264', np.float64(0.2048), 0), ('979', np.float64(0.2017), 0), ('154', np.float64(0.1996), 0), ('1205', np.float64(0.1989), 0), ('1238', np.float64(0.1944), 0), ('1211', np.float64(0.1845), 0)]",0.1,0.1,0.10000000000000002,0.04948305185903101
39,Vetorial,0,0,"[('315', np.float64(0.2269), 0), ('272', np.float64(0.2018), 1), ('37', np.float64(0.1972), 0), ('959', np.float64(0.1885), 0), ('1154', np.float64(0.1776), 0), ('1149', np.float64(0.1668), 0), ('1264', np.float64(0.1588), 0), ('207', np.float64(0.1546), 3), ('418', np.float64(0.1538), 3), ('1278', np.float64(0.1508), 0)]",0.3,0.23076923076923078,0.2608695652173913,0.18061771613351768
40,Vetorial,0,0,"[('37', np.float64(0.2198), 0), ('272', np.float64(0.1551), 3), ('315', np.float64(0.1481), 0), ('536', np.float64(0.1407), -1), ('1264', np.float64(0.1343), 0), ('1368', np.float64(0.1329), 0), ('207', np.float64(0.1294), 0), ('1205', np.float64(0.1263), 0), ('17', np.float64(0.1248), 0), ('1257', np.float64(0.1181), 0)]",0.1,0.08333333333333333,0.0909090909090909,0.06145926745815638
41,Vetorial,0,0,"[('289', np.float64(0.553), 1), ('433', np.float64(0.4035), 2), ('432', np.float64(0.3204), 0), ('927', np.float64(0.3094), 0), ('1141', np.float64(0.2871), 0), ('549', np.float64(0.2446), 0), ('288', np.float64(0.2405), 1), ('1277', np.float64(0.2383), 0), ('154', np.float64(0.2092), 0), ('229', np.float64(0.2045), 0)]",0.3,1.0,0.4615384615384615,0.8095238095238094
42,Vetorial,0,0,"[('521', np.float64(0.4448), -1), ('526', np.float64(0.421), 0), ('503', np.float64(0.3229), 0), ('468', np.float64(0.3146), 2), ('469', np.float64(0.2884), 3), ('496', np.float64(0.2844), 0), ('797', np.float64(0.2725), 0), ('801', np.float64(0.2661), 0), ('440', np.float64(0.2609), 0), ('467', np.float64(0.2396), 3)]",0.3,0.6,0.4,0.20230854915065438
43,Vetorial,0,0,"[('39', np.float64(0.2595), 3), ('467', np.float64(0.2247), 1), ('469', np.float64(0.2187), 1), ('503', np.float64(0.2186), 3), ('194', np.float64(0.2164), 0), ('468', np.float64(0.1994), 1), ('496', np.float64(0.1909), 0), ('1210', np.float64(0.1907), 0), ('70', np.float64(0.1892), 0), ('404', np.float64(0.1778), 0)]",0.5,0.8333333333333334,0.625,0.8166666666666665
44,Vetorial,0,0,"[('1199', np.float64(0.1671), 0), ('1190', np.float64(0.1657), 0), ('1031', np.float64(0.1563), 0), ('583', np.float64(0.153), 0), ('232', np.float64(0.1424), 0), ('103', np.float64(0.1423), 0), ('760', np.float64(0.1337), 0), ('849', np.float64(0.1324), 0), ('27', np.float64(0.1321), 0), ('801', np.float64(0.1256), 0)]",0.0,0.0,0.0,0.0018297867638647012
45,Vetorial,0,0,"[('305', np.float64(0.3988), 2), ('525', np.float64(0.3479), -1), ('123', np.float64(0.2844), 0), ('1185', np.float64(0.2551), 3), ('540', np.float64(0.2441), 0), ('84', np.float64(0.2433), 0), ('26', np.float64(0.2385), 0), ('353', np.float64(0.2257), 0), ('1299', np.float64(0.2135), 0), ('133', np.float64(0.194), 0)]",0.2,0.16666666666666666,0.1818181818181818,0.18319400314256393
46,Vetorial,0,0,"[('305', np.float64(0.3611), 2), ('525', np.float64(0.3466), -1), ('123', np.float64(0.3127), 4), ('1185', np.float64(0.3073), 4), ('84', np.float64(0.279), 4), ('353', np.float64(0.2726), 0), ('37', np.float64(0.2628), 0), ('623', np.float64(0.2564), 3), ('872', np.float64(0.2425), 0), ('1366', np.float64(0.2421), 0)]",0.5,0.3333333333333333,0.4,0.33104237552470034
47,Vetorial,0,0,"[('568', np.float64(0.3372), 0), ('525', np.float64(0.3113), -1), ('305', np.float64(0.2752), 3), ('310', np.float64(0.2421), 2), ('327', np.float64(0.2396), 0), ('570', np.float64(0.2377), 2), ('307', np.float64(0.2365), 2), ('1200', np.float64(0.227), 0), ('663', np.float64(0.2101), 3), ('260', np.float64(0.2083), 0)]",0.5,0.35714285714285715,0.41666666666666663,0.316176832912758
48,Vetorial,0,0,"[('526', np.float64(0.3769), -1), ('440', np.float64(0.3287), 3), ('797', np.float64(0.2587), 3), ('683', np.float64(0.2417), 0), ('334', np.float64(0.2283), 0), ('521', np.float64(0.1829), 0), ('222', np.float64(0.1826), 0), ('26', np.float64(0.1739), 0), ('707', np.float64(0.1701), 0), ('655', np.float64(0.1692), 0)]",0.2,0.18181818181818182,0.1904761904761905,0.15802628933933058
49,Vetorial,0,0,"[('527', np.float64(0.4136), -1), ('320', np.float64(0.296), 3), ('322', np.float64(0.259), 0), ('321', np.float64(0.2575), 0), ('1235', np.float64(0.248), 0), ('366', np.float64(0.2394), 0), ('1370', np.float64(0.2353), 0), ('832', np.float64(0.2259), 0), ('1108', np.float64(0.2194), 0), ('349', np.float64(0.2165), 0)]",0.1,0.5,0.16666666666666669,0.27439024390243905
50,Vetorial,0,0,"[('1301', np.float64(0.2817), 0), ('192', np.float64(0.2716), 0), ('798', np.float64(0.2646), 0), ('1154', np.float64(0.2633), 0), ('498', np.float64(0.2616), 0), ('922', np.float64(0.2529), 0), ('273', np.float64(0.2493), 0), ('801', np.float64(0.248), 0), ('27', np.float64(0.2469), 0), ('248', np.float64(0.2433), 0)]",0.0,0.0,0.0,0.012004693658352444
51,Vetorial,0,0,"[('494', np.float64(0.3709), 2), ('23', np.float64(0.2468), 2), ('326', np.float64(0.2428), 4), ('1301', np.float64(0.2282), 0), ('94', np.float64(0.2239), 1), ('498', np.float64(0.2099), 0), ('261', np.float64(0.2095), 4), ('1154', np.float64(0.2095), 0), ('1214', np.float64(0.2028), 0), ('105', np.float64(0.2018), 2)]",0.6,0.6,0.6,0.5854547756150429
52,Vetorial,0,0,"[('1215', np.float64(0.2777), 0), ('306', np.float64(0.2587), 2), ('21', np.float64(0.246), 2), ('326', np.float64(0.2458), 4), ('550', np.float64(0.2312), 0), ('1383', np.float64(0.2026), 0), ('4', np.float64(0.1944), 0), ('251', np.float64(0.1913), 0), ('528', np.float64(0.191), -1), ('629', np.float64(0.1907), 0)]",0.3,0.75,0.4285714285714285,0.5700757575757576
53,Vetorial,0,0,"[('208', np.float64(0.4294), 4), ('267', np.float64(0.3069), 0), ('269', np.float64(0.3022), 0), ('61', np.float64(0.2844), 0), ('1273', np.float64(0.2763), 0), ('298', np.float64(0.2734), 4), ('1236', np.float64(0.2679), 0), ('1221', np.float64(0.2542), 0), ('653', np.float64(0.2532), 0), ('1222', np.float64(0.2429), 0)]",0.2,0.2,0.20000000000000004,0.21637021171741472
54,Vetorial,0,0,"[('123', np.float64(0.4576), -1), ('1185', np.float64(0.3423), 0), ('84', np.float64(0.3397), 2), ('305', np.float64(0.3388), 0), ('525', np.float64(0.3295), 0), ('666', np.float64(0.3087), 0), ('1213', np.float64(0.2929), 0), ('1307', np.float64(0.2911), 0), ('564', np.float64(0.2886), 0), ('1107', np.float64(0.2872), 0)]",0.1,0.1111111111111111,0.10526315789473685,0.10204941413520617
55,Vetorial,0,0,"[('460', np.float64(0.3234), 2), ('1154', np.float64(0.3029), 0), ('1149', np.float64(0.2935), 0), ('406', np.float64(0.2798), 0), ('376', np.float64(0.2707), 4), ('959', np.float64(0.2627), 0), ('17', np.float64(0.2399), 0), ('1301', np.float64(0.219), 0), ('344', np.float64(0.2111), 0), ('377', np.float64(0.203), 4)]",0.3,0.3,0.3,0.2487583046248772
56,Vetorial,0,0,"[('753', np.float64(0.3303), -1), ('391', np.float64(0.1866), 0), ('202', np.float64(0.1837), 0), ('878', np.float64(0.172), 0), ('14', np.float64(0.1671), 4), ('1339', np.float64(0.1635), 3), ('783', np.float64(0.1543), 0), ('1290', np.float64(0.1527), 0), ('1275', np.float64(0.1488), 0), ('1111', np.float64(0.143), 0)]",0.2,0.2,0.20000000000000004,0.15390548676676694
57,Vetorial,0,0,"[('753', np.float64(0.3551), -1), ('878', np.float64(0.2158), 0), ('202', np.float64(0.214), 0), ('1275', np.float64(0.2068), 0), ('380', np.float64(0.1988), 2), ('1339', np.float64(0.191), 0), ('916', np.float64(0.1883), 0), ('52', np.float64(0.1881), 0), ('3', np.float64(0.1872), 0), ('444', np.float64(0.1836), 0)]",0.1,0.07142857142857142,0.08333333333333333,0.08973375317792363
58,Vetorial,0,0,"[('754', np.float64(0.3374), -1), ('120', np.float64(0.2726), 0), ('270', np.float64(0.2569), 0), ('873', np.float64(0.2393), 0), ('872', np.float64(0.2158), 0), ('1159', np.float64(0.2108), 0), ('788', np.float64(0.2089), 2), ('1084', np.float64(0.2043), 0), ('398', np.float64(0.1987), 0), ('785', np.float64(0.1966), 3)]",0.2,0.2222222222222222,0.2105263157894737,0.13722971532730208
59,Vetorial,0,0,"[('1176', np.float64(0.1909), 0), ('1359', np.float64(0.1834), 0), ('1116', np.float64(0.1825), 0), ('1084', np.float64(0.1779), 0), ('1055', np.float64(0.1744), 0), ('842', np.float64(0.1721), 0), ('671', np.float64(0.1685), 0), ('1105', np.float64(0.1594), 0), ('458', np.float64(0.1553), 0), ('657', np.float64(0.1533), 0)]",0.0,0.0,0.0,0.019779784731466084
60,Vetorial,0,0,"[('527', np.float64(0.4989), 3), ('320', np.float64(0.4251), 4), ('322', np.float64(0.3911), -1), ('321', np.float64(0.383), 0), ('107', np.float64(0.2499), 0), ('730', np.float64(0.242), 0), ('1240', np.float64(0.2371), 0), ('1235', np.float64(0.2336), 0), ('960', np.float64(0.2297), 0), ('243', np.float64(0.2274), 0)]",0.2,0.4,0.26666666666666666,0.4622987117552335
61,Vetorial,0,0,"[('539', np.float64(0.3094), -1), ('566', np.float64(0.2701), 2), ('564', np.float64(0.2505), 3), ('333', np.float64(0.2213), 0), ('435', np.float64(0.2117), 0), ('283', np.float64(0.2002), 0), ('1258', np.float64(0.1924), 0), ('1213', np.float64(0.1921), 0), ('145', np.float64(0.1884), 0), ('784', np.float64(0.1714), 0)]",0.2,0.4,0.26666666666666666,0.26683489201561483
62,Vetorial,0,0,"[('787', np.float64(0.3191), 0), ('785', np.float64(0.2996), 0), ('105', np.float64(0.2957), 0), ('381', np.float64(0.2921), 0), ('148', np.float64(0.2835), 0), ('459', np.float64(0.2817), 0), ('1383', np.float64(0.2787), 0), ('1258', np.float64(0.2631), 0), ('452', np.float64(0.2551), 0), ('786', np.float64(0.2497), 0)]",0.0,0.0,0.0,0.03149059293135706
63,Vetorial,0,0,"[('843', np.float64(0.2169), 0), ('1045', np.float64(0.2079), 0), ('678', np.float64(0.203), 0), ('1121', np.float64(0.1966), 0), ('1116', np.float64(0.1948), 0), ('839', np.float64(0.1891), 0), ('1046', np.float64(0.1759), 0), ('1359', np.float64(0.161), 0), ('204', np.float64(0.1566), 0), ('763', np.float64(0.1545), 0)]",0.0,0.0,0.0,0.006263283905291832
64,Vetorial,0,0,"[('1204', np.float64(0.1907), 0), ('730', np.float64(0.1847), 0), ('878', np.float64(0.1777), 0), ('775', np.float64(0.1761), 0), ('914', np.float64(0.1742), 0), ('202', np.float64(0.1687), 0), ('15', np.float64(0.1623), 0), ('390', np.float64(0.1572), 1), ('391', np.float64(0.1542), 2), ('1252', np.float64(0.1527), 0)]",0.2,1.0,0.33333333333333337,0.1736111111111111
65,Vetorial,0,0,"[('3', np.float64(0.5056), 2), ('4', np.float64(0.3674), 3), ('393', np.float64(0.3505), 3), ('664', np.float64(0.3293), 2), ('388', np.float64(0.3117), -1), ('1386', np.float64(0.2865), 0), ('180', np.float64(0.2714), 3), ('1106', np.float64(0.2549), 0), ('569', np.float64(0.2527), 0), ('2', np.float64(0.2482), 2)]",0.6,0.4,0.48,0.4114071047189457
